Output Areas Code,Output Areas,Observation
E00020750,E00020750,4177
E00020751,E00020751,5067.5
E00020752,E00020752,7034.8
E00020753,E00020753,11636.4
E00020754,E00020754,10024.2
E00020755,E00020755,10390.4
E00020756,E00020756,12648.1
E00020757,E00020757,11435
E00020758,E00020758,11684.9
E00020759,E00020759,10946.5
E00020760,E00020760,2637.2
E00020761,E00020761,11396.1
E00020763,E00020763,11432.1
E00020764,E00020764,11273.4
E00020765,E00020765,2104.9
E00020766,E00020766,13333.3
E00020767,E00020767,12430.6
E00020768,E00020768,10524.6
E00020769,E00020769,7881.9
E00020770,E00020770,10094.6
E00020771,E00020771,5745.7
E00020772,E00020772,5969.9
E00020773,E00020773,10430.1
E00020774,E00020774,12287
E00020775,E00020775,10157.5
E00020776,E00020776,8480.4
E00020777,E00020777,12013.7
E00020778,E00020778,4617.9
E00020779,E00020779,9617.8
E00020780,E00020780,8092.7
E00020781,E00020781,13770.1
E00020782,E00020782,7100.4
E00020783,E00020783,11983.9
E00020784,E00020784,7755.6
E00020785,E00020785,8762.7
E00020786,E00020786,13556.5
E00020787,E00020787,5069.4
E00020788,E00020788,8020
E00020789,E00020789,8555
E00020790,E00020790,1313.8
E00020791,E00020791,8862.7
E00020792,E00020792,7195.9
E00020793,E00020793,8832.5
E00020794,E00020794,8906.9
E00020795,E00020795,5189.9
E00020796,E00020796,9198.2
E00020797,E00020797,7721.5
E00020798,E00020798,3208.6
E00020799,E00020799,7784.9
E00020800,E00020800,5211.3
E00020801,E00020801,2632.7
E00020802,E00020802,7223.3
E00020803,E00020803,6700.5
E00020804,E00020804,7569.7
E00020805,E00020805,8445.4
E00020806,E00020806,7429.1
E00020807,E00020807,7132.6
E00020808,E00020808,7355.2
E00020809,E00020809,5948.1
E00020810,E00020810,5859.9
E00020811,E00020811,11104.8
E00020812,E00020812,2458.9
E00020813,E00020813,9557.1
E00020814,E00020814,8739.3
E00020815,E00020815,8105.6
E00020816,E00020816,7780.5
E00020817,E00020817,8663.9
E00020818,E00020818,9649.1
E00020819,E00020819,15181.3
E00020820,E00020820,12208.8
E00020821,E00020821,15219.8
E00020822,E00020822,10468.3
E00020823,E00020823,12766.7
E00020824,E00020824,10383.3
E00020825,E00020825,9103
E00020826,E00020826,12119
E00020828,E00020828,14904.8
E00020830,E00020830,7726.1
E00020831,E00020831,12590.4
E00020832,E00020832,21583.3
E00020833,E00020833,11560.3
E00020834,E00020834,6930.1
E00020835,E00020835,15157.9
E00020836,E00020836,20092.6
E00020837,E00020837,9222.2
E00020838,E00020838,22651.5
E00020839,E00020839,12222.2
E00020840,E00020840,14134.1
E00020841,E00020841,16635.9
E00020842,E00020842,11058.8
E00020844,E00020844,18961
E00020845,E00020845,20471.2
E00020846,E00020846,10196.1
E00020847,E00020847,19173.6
E00020848,E00020848,8115.7
E00020849,E00020849,6713
E00020850,E00020850,20563.4
E00020851,E00020851,13111.1
E00020852,E00020852,11672.6
